	id	text	misogynous	misogyny_category	target	hate	humour
43	45	all you fucking faggots were laughing at her too with that other fucking dumb cunt liberal ellen degeneres	1	discredit	active	explicit_hate	funny
44	46	i m sorry but you damn hoe and you don t even know it	1	discredit	active	not_hate	funny
45	47	thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke	1	discredit	active	explicit_hate	funny
46	48	got these hoes thinking sharing a nigga or being a side bitch is cool	1	discredit	active	implicit_hate	funny
47	49	she probably was using it already before she took it stupid bitch	1	discredit	active	implicit_hate	funny
48	50	you fucking slut daddy wants you to dm him	1	discredit	active	explicit_hate	funny
49	51	also still laughing at this bitch that my friend chef brought to dirtybird like no one wanted you there hoe just so you know	1	discredit	active	not_hate	funny
50	52	tuesday and wednesday thursday and friday i can beat your ass bitch every weekend	1	discredit	active	explicit_hate	funny
51	53	ill kill the bitch chloe when your not home idgaf if you re kidding bitch i ll report your ass url	1	sexual_harassment	active	implicit_hate	funny
52	54	why because you act like ms whore	1	discredit	active	not_hate	funny
53	55	url rape and murdered children what do you expect from the religion of peace and women don t count as human think	1	discredit	passive	implicit_hate	funny
54	56	first of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner	1	discredit	active	explicit_hate	funny
55	57	wow that bitch is tweeting hard like her good heart makes it look like she wasn t involved in the coverup everybody knows she s a ho	1	discredit	active	not_hate	funny
56	58	too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain t shit boy	1	discredit	passive	explicit_hate	funny
57	59	stupid bitch i hate you	1	discredit	active	explicit_hate	funny
58	60	oh my god okay but i saw this jennie x pretty girl video and bitch i m	1	discredit	active	not_hate	funny
59	61	me h lana del dey i m a dragon you re a whore bitch	1	discredit	active	implicit_hate	funny
60	62	you are such a lucky slut girl i envy you	1	discredit	active	explicit_hate	funny
61	63	before you sign up to be a side bitch keep in mind that there s a 99 9 chance of you getting your ass beat k k	1	discredit	active	not_hate	funny
62	64	never let a girl with unblended shadow unlined lips and a non setting foundation w powder ass bitch tell u shit have a good day y all	1	discredit	passive	implicit_hate	funny
63	65	you only come around when you want dick bitch respect my energy	1	discredit	active	implicit_hate	funny
64	66	you are no champion for women you re a greedy opportunistic attention whore you should never work in law again url	1	discredit	active	not_hate	funny
65	67	no bitch this girl annoying	1	discredit	active	explicit_hate	funny
66	68	let s have some fun let me rape your wallet you ll watch stroke amp thank me for abusing you like a whore	1	sexual_harassment	active	implicit_hate	funny
67	69	white woman are so quick to claim rape so how about you black sisters we rarely heard you	1	discredit	passive	implicit_hate	funny
68	70	lmao a little bitch got mad at me at work yesterday and asked to speak to a manager hoe i am the store manager so what now	1	discredit	active	not_hate	funny
69	71	yo moma ah stupid bitch for having a fake ass son acting gangster on twitter url	1	discredit	active	not_hate	funny
70	72	excuse me everyone likes it bitch if you don t fuck off this world what a hoe	1	discredit	active	implicit_hate	funny
71	73	no you suck and the game said you were a slut	1	discredit	active	not_hate	funny
72	74	a girl can only be a slut a bitch a tease or the virgin next door url url	1	discredit	passive	implicit_hate	funny
73	75	backstabbing cher hypocritical nasty woman and a bitch bashing my president who screwed her way to the top url	1	discredit	active	not_hate	funny
74	76	i get to rape beautiful women and that s why i like working on this project	1	sexual_harassment	passive	implicit_hate	funny
75	77	fuck you bitch i d fight you if i wasn t pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth	1	discredit	active	implicit_hate	funny
76	78	l don t even know s that fucking women bitch person_1	1	discredit	active	not_hate	funny
77	80	what the fuck travis your a dumb ass bitch kylie i still love yah girl btw	1	discredit	active	implicit_hate	funny
78	81	girl lmaooooo bitch i needed a heads up or something	1	discredit	active	implicit_hate	funny
79	82	this bitch is stupid af forcing me to wake up my residents like wtf not like i was sitting not doing shit i was doing shit stupid ass	1	discredit	active	implicit_hate	funny
80	83	i miss you more main slut halavyaahhh hhahahhaahahpatatas	1	discredit	active	not_hate	funny
81	84	hey girl if ur still reading my tweets ur a dumb bitch	1	discredit	active	implicit_hate	funny
82	85	you just have power over men altogether women are men s ultimate weakness after all which is why women are slut url	1	discredit	passive	not_hate	funny
83	86	this fake bitch trynna indirect me hello me if ur not a coward hoe	1	discredit	active	implicit_hate	funny
84	87	back too you slut	1	discredit	active	not_hate	funny
85	88	i tried to find a gif of brett butler calling you a godless whore but well let s just say i didn url	1	discredit	active	not_hate	funny
86	89	ahhh bitch just the other day you said i been having a crush on him since forever dumb ass hoe give it up he don t want you	1	discredit	active	implicit_hate	funny
87	90	some women love to be whores so don t have if a pig wanna remove a pig from where he doesn t belong we need class	1	discredit	passive	implicit_hate	funny
88	91	fucking slut i knew you were cheating on me url	1	discredit	active	not_hate	funny
89	92	shut up bitch and suck my cock url	1	sexual_harassment	active	explicit_hate	funny
90	93	telemarketer did same to me called me a whore and said he would rape me nice	1	sexual_harassment	active	implicit_hate	funny
91	94	and you all call me a slut ha not when close compared to that slut	1	discredit	active	not_hate	funny
92	95	titties are but where s your ass bitch	1	discredit	active	explicit_hate	funny
93	96	a bitch about to get pussy punched if she dont buy a new god damn book	1	discredit	active	implicit_hate	funny
94	97	boy you look like you rape girls at frat parties malicious ass racist cunt url	1	sexual_harassment	passive	implicit_hate	funny
95	98	demi fat and flop ariana queen now leave stupid bitch	1	discredit	active	implicit_hate	funny
96	99	i love playing with your ass will you rid my cock and i eat you out url	1	sexual_harassment	active	implicit_hate	funny
97	100	ovide mercredi to paul schabas char s a squaw i attack indigenous women all the time no one will notice if you rape her rape her	1	sexual_harassment	passive	implicit_hate	funny
98	101	really some cunt that has oasis lyrics in her bio is gonna tell me something stfu bitch this cunt is crazy	1	discredit	active	implicit_hate	funny
99	102	why this big fat ass ugly ass bitch like me she need to unlike me i love dick tf	1	discredit	active	implicit_hate	funny
100	103	this ignorant bitch should know how many women did she destroy to protect that predator husband url	1	discredit	active	implicit_hate	funny
101	104	they are nice you mean mean whore	1	discredit	active	implicit_hate	funny
102	105	girl or not if i saw that i d knock the cunt out how dare you hurt a child like that fucking sick twisted bitch	1	discredit	active	explicit_hate	funny
103	106	uhhhhhh that s stupid little bitch ma am	1	discredit	active	not_hate	funny
104	107	you a whore	1	discredit	active	explicit_hate	not_funny
105	108	i had this girl bite my dick a lil too hard last night	1	sexual_harassment	active	implicit_hate	funny
106	109	hell this stupid bitch said i wasn t even black but a white person in blackface just because i said the na isn t racist	1	discredit	active	not_hate	funny
107	110	no apple i don t want an amber alert for a stupid 16 yr old bitch that got into a 21 yr old pedos car	1	discredit	active	implicit_hate	funny
108	111	i m the big dick motherfuckin bitch hoe url	1	discredit	active	explicit_hate	funny
109	112	eric cartman how bout we sing kyle s mom is a stupid bitch in d minor	1	discredit	active	not_hate	funny
110	113	lil is beautiful gays are cute i m very strong and you re stupid bitch	1	discredit	active	implicit_hate	funny
111	114	frost is a stupid bitch	1	discredit	active	not_hate	not_funny
112	115	thots be like omg she s such a slut didn t you fuck the whole football team	1	discredit	active	not_hate	funny
113	116	bitch if u dont hop off my dick and go do somethin with yo loud mouth ass mothball url	1	sexual_harassment	active	implicit_hate	funny
114	117	boo seungkwan a visual hole bitch i think the fuk not url	1	discredit	active	not_hate	funny
115	118	bitch you stupid but you aint stupid stupid url	1	discredit	active	not_hate	funny
116	119	then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason idk smh had to beat this nigga ass	1	sexual_harassment	active	implicit_hate	funny
117	120	i hate this british woman of letters bitch	1	discredit	active	not_hate	funny
118	121	cunt and demon bitch betsy devos is an evil evil antichrist lying warlock for oil and money url	1	discredit	active	implicit_hate	funny
119	122	i don t really appreciate some of you that participated in fine women friday this is my personal opinion though your granny a hoe	1	discredit	passive	not_hate	funny
120	123	happy 21st birthday to my slut you already know what we on	1	discredit	active	not_hate	funny
121	124	imagine getting your ass dragged by kali uchis bc you were being a rude ass bitch	1	discredit	active	implicit_hate	funny
122	125	where s this bitch gloria steinem in all this abuse against women url	1	discredit	active	not_hate	funny
123	126	your girlfriend a major snorter but that bitch ain t worth a quarter	1	discredit	active	implicit_hate	funny
124	127	your girl is a hoe she fucked all my bros	1	discredit	active	implicit_hate	funny
125	128	omg he gave her his number and she didn t say no what a cunt the girl is the cunt for giving it to some random fucktard	1	discredit	active	implicit_hate	funny
126	129	lmao went off on the whore groupie hoe in scott s bathroom yes bitch	1	discredit	active	not_hate	funny
127	130	you re in the middle of being a woman or being a bitch	1	discredit	active	not_hate	funny
128	131	this bitch for real said you re not a woman without boobs	1	sexual_harassment	active	implicit_hate	funny
129	132	went to stupid bitch put one in upside down one side ways 6 we ll spent url	1	discredit	active	not_hate	funny
130	133	i hate coming to the city people real life know my car like pussy study yo bitch car	1	discredit	active	explicit_hate	funny
131	134	i use to get sky at my dads house but his whore girlfriend never use to let me watch it	1	discredit	active	implicit_hate	funny
132	135	even my dreams cock block me like i killed and save this bitch 100 times just to die and start again bitch this aint mario smd	1	discredit	active	implicit_hate	funny
133	136	dirty smelly cunt slut whores hope your old man rots in a cell	1	discredit	active	explicit_hate	funny
134	137	getting her pussy and ass ate at the same time now that s goals bitch	1	sexual_harassment	passive	implicit_hate	funny
135	138	lol chop her head off and rape the bitch url	1	sexual_harassment	active	explicit_hate	funny
136	139	disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it you owe everything to women so shut up url	1	discredit	active	explicit_hate	funny
137	140	this pussy mine girl tell me you like daddy dick first of all wrong hole foo	1	discredit	active	implicit_hate	funny
138	141	her hairy old cunt gets drilled by stiff dick url	1	sexual_harassment	active	explicit_hate	funny
139	142	i moan as i watch your perfect blue pussy descend upon my big dick	1	sexual_harassment	active	implicit_hate	funny
140	143	suck my dick you stupid bitch	1	sexual_harassment	active	explicit_hate	funny
141	144	women are ridiculous lmao like bitch i m 5 2 i m sorry your crush went for a shorty	1	discredit	passive	not_hate	funny
142	145	i love your ass bitch url	1	sexual_harassment	active	explicit_hate	funny
143	146	go rape your whore of a mother	1	sexual_harassment	active	explicit_hate	not_funny
144	147	what a stupid bitch talks utter shite this woman pure fucking evil too	1	discredit	active	explicit_hate	funny
145	148	girls hear you say fuckkk during sex and think her pussy fire first of all hoe i m really just feeling bad for cheating on my girl	1	sexual_harassment	passive	implicit_hate	funny
146	149	bitch fuck you too then that s why i hope all your teeth fall out whore	1	sexual_harassment	active	implicit_hate	funny
147	150	then why tho u damn stupid hoe	1	discredit	active	not_hate	funny
148	151	why is it whenever i talk to girls they just cut off communication with me for no reason and no explanation o yea i know cuz	1	discredit	passive	not_hate	funny
149	152	why do women have periods because they deserve them	1	discredit	passive	implicit_hate	funny
150	153	what takes up 12 parking spaces 6 women drivers	1	stereotype	passive	not_hate	funny
151	154	who makes the sandwiches at a feminist rally	1	stereotype	passive	implicit_hate	funny
152	155	why did god invent the yeast infection so women know what it s like living with an irritating cunt	1	discredit	passive	implicit_hate	funny
153	156	god doesn t hate gays he s just mad they found a loop hole in dealing with women	1	stereotype	passive	implicit_hate	funny
154	157	why is a female like a laxative they both irritate the shit out of you	1	discredit	passive	implicit_hate	funny
155	158	why aren t women marching on the streets demanding the for all women men know the answer women are lazy url	1	discredit	passive	implicit_hate	funny
156	159	when you re flexin on these bitches url	1	discredit	passive	explicit_hate	funny
157	160	i need some new atl hoes for the summer where the atl bitches at	1	discredit	passive	implicit_hate	funny
158	161	too many women confuse their hearts with their vaginas	1	discredit	passive	implicit_hate	funny
159	162	strippers tryin to get me to the champagne rm is my favorite thing bitch please you ll be paying for this dick by the end of the night	1	sexual_harassment	active	implicit_hate	funny
160	163	people in airport bars always wanna tell you their life stories stfu bill idgaf about your stupid daughter and whore wife	1	discredit	active	explicit_hate	funny
161	164	if she lets you put your penis in her vagina with no strings attached have the common decency to treat her like a queen on her bday	1	sexual_harassment	active	implicit_hate	funny
162	165	he cheated on you that s nice now go sit in the corner drink your lemonade and cry bitch	1	discredit	active	implicit_hate	funny
163	166	if i put my fingers inside of you and you won t taste yourself you can bet your ass i m not tasting you either	1	sexual_harassment	active	implicit_hate	funny
164	167	i hate it when waitresses call me sir like yeah bitch that s what i wanted with my lunch a hard fuckin dick	1	discredit	passive	implicit_hate	funny
165	168	bitches are always sayin it s the little things until you have a a little bank account a little drinking problem or a little dick	1	discredit	passive	implicit_hate	funny
166	169	i treat women like fuck toys cause that s all they are to me	1	discredit	passive	implicit_hate	funny
167	170	pro tip put all your bitches on a period tracker app so you know when to avoid they ass	1	discredit	passive	implicit_hate	funny
168	171	you re too sweet ya sexy bitch	1	discredit	active	explicit_hate	funny
169	172	you don t have to worry about angles anymore these bitches out here face swapping with their friends tryna trick to ass	1	discredit	passive	implicit_hate	funny
170	173	bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out	1	discredit	passive	implicit_hate	funny
171	174	head so sloppy had to get that bitch a bib url	1	discredit	active	implicit_hate	funny
172	175	no one gives less fucks than the guy that comments check your dm ma on bitches posts	1	discredit	passive	not_hate	funny
173	176	donald you stupid bitch hillary you fuckin buffoon donald think they believe we hate each other ah fuck it lets go get a drink url	1	discredit	active	explicit_hate	funny
174	177	i don t catch feelings i don t catch flights but i do catch dudes slippin and fuck their girls	1	sexual_harassment	passive	implicit_hate	funny
175	178	ugly bitches always got their shit on private with a profile pic that has 97462583047251538 filters on it	1	discredit	passive	implicit_hate	funny
176	179	my uncle vern said women get their peiods because it s the only way god could get rid of some of their evil	1	discredit	passive	implicit_hate	funny
177	180	correct me if i m wrong but don t all you bitches wanna be mermaids how come no stink on social media for the mermaid emoji then	1	discredit	passive	implicit_hate	funny
178	181	there are women making burritos at the jacksonville chipoltle do not eat there	1	discredit	passive	not_hate	funny
179	182	wasnt it george washington who said fuck bitches get money	1	discredit	passive	explicit_hate	funny
180	183	feminism is cancer is chemo burn those bitches away	1	discredit	passive	implicit_hate	funny
181	184	today my daughter got her period i guess it s time to throw her away and get a new one right lol fuck her stupid bitch kid i hate my	1	discredit	active	implicit_hate	funny
182	185	we can t have a woman in the white house what if she starts pmsing and drops bombs everywhere	1	discredit	passive	not_hate	funny
183	186	if a woman doesn t want you just unleash your charm women are weak and will cave after almost nothing	1	stereotype	passive	implicit_hate	funny
184	187	women are beautiful to me when they are silent why do they have to speak up and ruin things	1	dominance	passive	implicit_hate	funny
185	189	its a good thing i always wear a glove on my left hand because if i ever had to touch hands with a woman my iq would totally drop to 0 lol	1	stereotype	passive	not_hate	funny
186	190	the only person with a vagina that i value is my mother and even she is a dumb retard women are only good for making babies	1	stereotype	passive	implicit_hate	funny
187	191	i m pretty sure it was abe lincon who said fool me once bitch shame on you fool me twice i m no longer a man and am now a dumb woman	1	discredit	active	not_hate	funny
188	192	i ve never in my life met a woman who was smarter then me maybe that has to do with their small retard brains	1	stereotype	passive	implicit_hate	funny
189	193	want to know what s really problematic women freaking out over nothing	1	discredit	passive	not_hate	funny
190	194	is there a thing in the constituion about women shutting the hell up come on	1	discredit	passive	not_hate	funny
191	196	next time i see a woman in public trying to go about her day i ll remind her that without men this society would just be a bunch of wom	1	discredit	passive	implicit_hate	funny
192	197	wow can t believe all these women riding the subway today shouldn t these bitches be making sandwiches lol	1	stereotype	passive	implicit_hate	funny
193	198	the last time i saw a woman of value was at the strip club and she was worth 1 lol	1	discredit	passive	not_hate	funny
194	199	these feminists are just too ugly sluts who want attention	1	stereotype	passive	implicit_hate	funny
195	200	the more women in the workplace means less women in the kitchen like and retweet if you see this as a big problem	1	stereotype	passive	not_hate	funny
196	201	i have never once met a woman whose mouth wasn t totally full of bullshit stupid bitches	1	discredit	passive	not_hate	funny
197	202	the olympics was fun except for the fact that i would never watch a woman play sports	1	stereotype	passive	not_hate	funny
198	205	i am proud to be an if stupid feminists can complain i should be able to complain just as loud it s only fair	1	discredit	passive	implicit_hate	funny
199	207	women want to be equal so now they don t shave their legs gross	1	discredit	passive	implicit_hate	funny
200	209	is this to do with crazy bitch hillary or no	1	discredit	active	not_hate	funny
201	210	you fvcking cunt bitch apologize politics	1	sexual_harassment	active	not_hate	funny
202	211	dont u have anything better to do u cunt bitch	1	discredit	active	implicit_hate	funny
203	212	fuck you you racist bitch and cunt piece of shit glad we know now where your entire family stands on social issues	1	discredit	active	explicit_hate	funny
204	213	black bitch gets cock shoved in her waiting cunt url	1	sexual_harassment	passive	explicit_hate	funny
205	214	i know fucker bitch i rode with you one time remember cunt whore never again will i fuck around with the fuck around	1	discredit	active	explicit_hate	funny
206	215	calling someone a bitch and a cunt is not the way to do it	1	sexual_harassment	passive	implicit_hate	funny
207	216	fucking cunt where s my belt bitch suck my dick and make me cum on your mouth	1	sexual_harassment	passive	implicit_hate	funny
208	217	i hate you you fucking cunt bitch how fucking dare you i hope you wake up with mad cott url	1	discredit	active	explicit_hate	funny
209	218	shut up cunt bitch whore	1	discredit	active	explicit_hate	funny
210	219	bitch is a ugly 3rd world kunt wit no ass and flopper jugs hate her	1	discredit	active	explicit_hate	funny
211	220	niggas think bitches supposed to suck their lil ass dick and not give a bitch head too like that s not how it works whore	1	sexual_harassment	passive	explicit_hate	funny
212	221	you ain t shit bitch shut your whore mouth	1	discredit	active	explicit_hate	funny
213	222	you mother fucking piece of trash stupid fucking idiot hoe i hope you fucking die in hell son of a father fucking fuck bitch whore you fucki	1	sexual_harassment	active	explicit_hate	funny
214	223	what a suprise my ex wife is being a whore for haloween wait until the kids turn 18 karen fuck yo u whore bitch you lying steali	1	discredit	active	implicit_hate	funny
215	224	how about that liberal whore chelsea handler that bitch definitely sounds ignorant	1	discredit	active	implicit_hate	funny
216	225	then you bitch m complain when you get them haha stop being a little bitch and just accept what you are you filthy whore	1	discredit	active	explicit_hate	funny
217	226	i just need women who know how to treat a bottom beta bitch girl like me right that aren t afraid to take what they want	1	sexual_harassment	passive	implicit_hate	funny
218	227	all women have the incredible ability to determine if another woman is a bitch based solely on her shoes	1	stereotype	passive	implicit_hate	funny
219	228	i need a bitch thats gon pay all my bills i don t like broke women	1	sexual_harassment	passive	implicit_hate	funny
220	229	im not for abusing women but i swear to odin this bitch is about to have a permanant imprint of my fist in her face	1	sexual_harassment	active	implicit_hate	funny
221	230	she jane fonda the traitorous bitch is one of the most despicable women to ever walk the face of url	1	discredit	active	not_hate	funny
222	231	i never understood the big deal about making a guy a plate at a get together cookout shit after the children and women eat im in that bitch	1	sexual_harassment	passive	implicit_hate	funny
223	232	women dont use their pussy to manipulate men women are saints cock riders bitches but saints lollll	1	discredit	passive	explicit_hate	funny
224	233	it s called polio i hate calling women this word but your a bitch in this instance	1	discredit	active	not_hate	funny
225	234	this cunt with a dick is a perpetual race whore who wouldn t know an historical fact if her pathetic life depended on it	1	discredit	active	explicit_hate	funny
226	235	literally you keep minseok s name out of your dirty whore mouth you can shit talk me all you want you cunt but leave him alone	1	discredit	active	explicit_hate	funny
227	236	this fat bitch be really trying it when it comes to my kids i just wanna drag that fat whore	1	sexual_harassment	active	explicit_hate	funny
228	237	so my chloe don t want to see me win she unfollowed because i made a post i hit 100 followers and then she unfollowed me bitch fuck u whore	1	discredit	active	not_hate	funny
229	238	lmfao lil biddy whores prison rape bitch im whose bitch	1	sexual_harassment	passive	explicit_hate	funny
230	239	keyshia ka whore is a bird gucci shoulda gave that bitch back to yo gotti	1	discredit	active	not_hate	funny
231	240	bitch show me attention too you whore	1	discredit	active	explicit_hate	funny
232	241	we ve been fucking this whore mother earth for awhile she s a filthy bitch anyway rotting her from the inside out we are at our end	1	discredit	active	explicit_hate	funny
233	242	oh said a bitch who lost everything you whore	1	discredit	active	explicit_hate	funny
234	243	lol omg you re such a whore who does that sara blah blah bitch look at yourself	1	discredit	active	implicit_hate	funny
235	244	listen here dumb fucker you dont call rania whore and youre the only crazy bitch here deactivate pls bc nobody c url	1	discredit	active	explicit_hate	funny
236	245	a man knows the difference between a woman and a lil ol whore bitch	1	discredit	passive	explicit_hate	funny
237	246	hollywood women would be whores and crack addicts when caught they were raped that is their story url	1	discredit	passive	implicit_hate	funny
238	247	alyssa milano a brainless whore l isn t empower women in any way women in science mathematics engineering and medicine are actually	1	discredit	active	implicit_hate	funny
239	248	women are sacred as mothers and wives everyone else is a degenerate whore who gets what url	1	discredit	passive	implicit_hate	funny
240	249	a tweet about rape jihaad since non muslim women without hijab are whores they must be raped and be url	1	sexual_harassment	passive	implicit_hate	funny
241	250	literally just got hit by a car bc this dumb blonde bitch was on her phone and she didn t even stop after hahahaha what a cunt	1	discredit	active	implicit_hate	funny
242	251	i will never understand why people can t just fucking mind their own goddamn business why you all up in my barbecue bitch foh ya cunt	1	sexual_harassment	passive	explicit_hate	funny
243	252	haven t talked to my kids in days because my bitch ass is a cunt	1	sexual_harassment	passive	implicit_hate	funny
244	253	no you re just a dumb bitch that obviously doesn t know how to throw underhand god you re a cunt url	1	discredit	active	not_hate	funny
245	254	block me bitch i love trump u ignorant cunt	1	discredit	active	explicit_hate	funny
246	255	person_1 is a dumb cunt dyke bitch hoe waste of a pick stupid idiot coach q	1	discredit	active	explicit_hate	funny
247	256	sable is a whore and a cunt sunny destroys sable url via	1	discredit	active	not_hate	not_funny
248	257	oh nvm i didn t know omega okada was in a pic together bitch fuck you slutbag whore cunt	1	discredit	active	explicit_hate	funny
249	258	the most worthless whore and bastard cunt on url	1	discredit	active	explicit_hate	funny
250	259	this bitch cunt whore slut every type of name deserves to fucking die u wildin for this url	1	discredit	active	explicit_hate	funny
251	260	teen whore lily rader gets nailed and creamed sexy blonde loves rubbign her juicy cunt	1	sexual_harassment	passive	explicit_hate	funny
252	261	i saw a women driving whilst speaking on the phone i cursed that cunt	1	discredit	active	implicit_hate	funny
253	262	this cunt probably blames women for getting raped	1	sexual_harassment	passive	implicit_hate	not_funny
254	263	most annoying cunt ever and i never call women that	1	discredit	active	implicit_hate	funny
255	264	normal woman degenerates into a cunt url	1	discredit	passive	implicit_hate	funny
256	265	this woman is a cunt when we cut trees that s ignorant and selfish too every family buying 2 3 c url	1	discredit	active	implicit_hate	funny
257	266	you are a major prick no woman should ever be made to feel scared like that but fuck you you didn t ruin my day cunt	1	sexual_harassment	passive	not_hate	funny
258	267	woman she is a cunt	1	discredit	active	explicit_hate	not_funny
259	268	why do people still like chris brown he s a fucking woman beating cunt	1	sexual_harassment	passive	explicit_hate	funny
260	269	hey look its the woman who wants to get famous for crying about an ass slap you truly are a worthless cunt	1	discredit	active	explicit_hate	funny
261	270	terrible cunt sticking up for tory sex pests she has no shame lower than a snakes belly vermin woman	1	discredit	active	explicit_hate	funny
262	271	she isn t racist unlike your somlalia bitch friend and you always causing shit bye slut	1	discredit	active	explicit_hate	funny
263	272	fuck you slut bitch hoe he aint giving a shit what you think	1	discredit	active	implicit_hate	funny
264	273	twinkle twinkle little slut you ve got just what this bitch wants you will have lots of fun you ll kiss my neck lick my bum	1	sexual_harassment	active	explicit_hate	funny
265	274	don t you hate when bitches act like sluts but aren t even down like that bitch from american beauty	1	sexual_harassment	passive	not_hate	funny
266	275	white cracker bitch your moms a slut bitch	1	discredit	active	explicit_hate	funny
267	276	the difference is you promote being a slut you dumb bitch you should go fuck yourself and stick some a url	1	discredit	active	explicit_hate	funny
268	277	where is that person_1 slut bitch that bitch is amazing	1	discredit	active	implicit_hate	funny
269	278	jayceejuice is a whore does she have sex talk with you too does she send you picks also she s a fucking slut	1	discredit	active	implicit_hate	funny
270	279	real old whore slut and granny with thirsty vagina url	1	sexual_harassment	passive	explicit_hate	funny
271	280	yet another fame hungry whore person_1 more bullshit claims to give her tv time pathetic slut hope shes sent to jail	1	discredit	active	implicit_hate	funny
272	281	suck a whore you slut	1	sexual_harassment	passive	explicit_hate	funny
273	282	i ve noticed not all men are raping or harassing women but unfortunately that s url	1	sexual_harassment	passive	not_hate	funny
